Visitor,PTS,Home,PTS
CHO,106,ORL,99
BRK,123,BOS,104
CHI,113,HOU,118
TOR,126,MEM,113
DET,93,MIL,114
MIA,101,MIN,113
WAS,102,NOP,127
UTA,110,OKC,104
ATL,124,SAS,106
PHI,96,GSW,116
PHO,121,SAC,125
DET,96,LAC,107
MIN,115,CHO,133
PHO,118,NYK,97
CHI,123,ORL,88
TOR,97,IND,114
ATL,132,MEM,100
WAS,101,OKC,99
BOS,88,SAS,96
MIL,120,DEN,109
NOP,98,UTA,97
PHO,103,GSW,118
SAC,141,LAL,137
MIN,121,PHI,120
NYK,99,ATL,90
PHO,113,BRK,107
MIA,107,CHI,104
ORL,92,CLE,105
CHO,143,HOU,146
WAS,120,DAL,114
NOP,105,UTA,127
GSW,105,LAC,90
MIL,118,IND,100
SAC,101,MEM,128
BOS,109,TOR,97
DET,106,LAL,110
ORL,96,PHI,101
DEN,120,MIA,111
CHO,119,CHI,133
OKC,89,HOU,102
IND,98,MIN,100
CLE,114,DAL,96
WAS,99,SAS,116
PHO,107,UTA,129
NOP,123,LAC,104
NYK,110,BRK,112
MEM,98,TOR,91
GSW,96,PHO,104
DET,92,PHO,110
LAL,117,SAC,92
ATL,114,IND,111
DEN,103,ORL,108
MIN,107,WAS,115
PHI,87,BOS,88
CLE,111,MIA,85
CHO,125,MIL,127
DAL,139,NOP,107
HOU,114,OKC,110
SAC,124,LAC,115
CHI,119,NYK,115
MIL,93,TOR,97
OKC,79,MEM,152
DET,103,PHO,114
SAS,114,PHO,83
MIA,113,IND,104
CLE,116,WAS,101
PHI,98,ATL,96
MIN,105,BRK,110
ORL,116,HOU,118
NOP,107,DAL,91
BOS,130,UTA,137
PHO,96,GSW,118
LAC,119,LAL,115
DEN,113,NYK,99
CHI,111,BRK,107
MIA,102,MIL,124
MEM,97,DAL,90
SAS,112,GSW,107
BOS,145,PHO,117
LAC,99,SAC,104
UTA,109,CLE,108
CHO,130,ATL,127
WAS,90,TOR,102
NOP,108,HOU,118
PHI,127,CHO,124
OKC,114,DET,103
WAS,110,IND,116
MEM,105,MIA,90
DEN,97,CHI,109
CLE,104,MIL,112
ATL,121,MIN,110
SAS,104,PHO,108
ORL,95,GSW,126
LAC,102,PHO,90
BRK,102,DAL,99
NYK,121,SAS,109
BOS,102,LAL,117
PHI,110,CHO,106
CHI,92,CLE,115
WAS,119,DET,116
NYK,102,IND,122
MIL,104,MIA,113
OKC,110,TOR,109
BRK,104,HOU,114
DAL,104,MEM,96
UTA,136,MIN,104
DEN,120,NOP,114
PHO,94,GSW,104
ORL,130,SAC,142
BOS,111,LAC,114
UTA,118,PHI,96
LAL,95,MEM,108
DEN,111,SAS,123
SAC,123,CHO,124
DAL,93,IND,106
BRK,113,ATL,105
NYK,87,TOR,90
MIL,123,HOU,114
CLE,123,MIN,106
DET,93,NOP,109
LAL,116,OKC,95
BOS,90,PHO,111
ORL,104,LAC,106
UTA,123,WAS,98
SAC,103,CLE,117
HOU,106,MEM,113
CHI,92,MIA,118
GSW,93,PHI,102
DEN,127,SAS,112
MIL,112,NYK,97
BRK,116,DET,104
DAL,103,OKC,84
NOP,97,SAS,112
MIN,116,PHO,111
ORL,94,LAL,106
MIA,94,CLE,105
GSW,102,IND,100
SAC,101,TOR,124
HOU,132,ATL,126
MIL,103,BOS,117
PHI,91,MEM,126
CHO,96,DAL,120
WAS,107,DEN,113
PHO,95,LAC,111
TOR,129,BRK,131
GSW,105,NYK,96
PHO,111,PHO,107
HOU,89,CLE,124
ATL,111,ORL,99
MIA,101,PHI,96
LAL,107,DAL,104
IND,99,MIL,114
NOP,113,OKC,110
CHO,131,SAS,115
MIN,124,DEN,107
MEM,113,PHO,103
WAS,105,SAC,119
LAC,103,UTA,124
DET,113,IND,122
PHI,105,BRK,114
NYK,116,HOU,103
WAS,98,PHO,118
MIA,115,ORL,105
DEN,133,ATL,115
GSW,111,BOS,107
MIL,112,NOP,116
SAS,128,UTA,126
LAL,92,MIN,110
CHO,116,PHO,125
MEM,124,SAC,105
HOU,116,DET,107
NYK,107,BOS,114
ORL,100,BRK,93
GSW,100,TOR,119
LAC,103,OKC,104
CLE,119,MIL,90
WAS,109,UTA,103
MIA,90,DET,100
PHO,105,MEM,100
SAS,114,SAC,121
LAL,110,CHI,115
DAL,105,MIN,111
CHO,106,PHO,137
PHI,108,BOS,103
HOU,118,CHI,133
OKC,102,MEM,99
CHO,102,UTA,112
SAC,98,GSW,113
SAS,116,LAC,92
IND,96,MIA,125
DET,91,NYK,105
PHO,97,NOP,111
MIN,102,DAL,114
PHO,108,LAL,90
ORL,104,ATL,98
CLE,101,BOS,111
HOU,106,MIL,126
DEN,94,OKC,108
LAC,105,SAC,89
HOU,106,IND,118
NOP,110,ORL,104
ATL,98,PHI,96
DET,112,MIA,115
WAS,124,NYK,117
MIL,102,DAL,95
CHO,115,DEN,107
OKC,101,PHO,113
MIN,116,UTA,128
MEM,104,GSW,113
SAS,138,LAL,110
ATL,87,NYK,101
BOS,113,MIL,117
GSW,116,PHO,107
BRK,122,LAL,115
DAL,116,UTA,120
ORL,83,MIA,93
TOR,99,CLE,144
MEM,127,SAC,102
PHI,117,WAS,96
NOP,112,OKC,117
DET,109,SAS,144
IND,105,CHI,113
DEN,103,LAC,100
HOU,99,CHO,123
CHI,130,ATL,118
BOS,103,MIN,108
UTA,110,SAS,104
MEM,114,PHO,113
DAL,132,PHO,117
BRK,124,LAC,108
MIL,127,ORL,110
WAS,112,MIA,119
PHI,114,TOR,109
LAL,132,HOU,123
NYK,96,MIN,88
CLE,104,NOP,108
DEN,89,GSW,86
OKC,111,SAC,117
NYK,94,DET,85
CHO,116,IND,108
