Visitor,PTS,Home,PTS
PHO,92,SAS,113
MIA,114,TOR,109
GSW,109,SAC,90
NOP,100,LAC,119
PHI,131,IND,122
CLE,115,ORL,120
HOU,105,BRK,118
CHO,115,MIA,144
ATL,108,TOR,118
MIL,127,CHI,106
WAS,132,MIN,114
PHO,94,OKC,98
SAS,116,DEN,97
MEM,115,UTA,121
NOP,123,SAC,109
LAL,110,PHO,121
DAL,131,DET,113
BRK,110,NYK,98
WAS,103,ATL,118
BOS,117,CHI,94
OKC,101,UTA,137
PHO,109,LAC,113
ORL,101,CHO,128
BOS,121,MIL,127
PHI,114,TOR,119
SAS,121,MIN,127
PHO,94,NOP,127
MEM,109,DEN,122
LAL,112,GSW,128
MIL,131,DET,101
NYK,114,WAS,92
CLE,107,BRK,118
HOU,115,TOR,117
CHO,133,CHI,117
ATL,109,MIA,113
PHO,78,DAL,128
PHO,111,UTA,105
OKC,101,LAL,120
IND,120,PHI,133
NOP,114,MEM,141
GSW,100,SAS,94
SAC,98,LAC,117
IND,126,BRK,134
WAS,108,CHO,124
MIL,115,CLE,133
ATL,130,HOU,114
BOS,139,MEM,110
TOR,94,NYK,105
MIA,111,ORL,125
DET,106,PHI,118
CHI,124,MIN,120
SAS,120,DAL,130
LAL,146,DEN,141
OKC,88,LAC,138
GSW,128,NOP,107
SAC,116,PHO,109
UTA,111,PHO,80
