Visitor,PTS,Home,PTS,,,,,,,,,Visitor,PTS,Home,PTS
Cleveland Cavaliers,114,Dallas Mavericks,96,,,,,,,,,CLE,114,DAL,96
Washington Wizards,99,San Antonio Spurs,116,,,,,,,,,WAS,99,SAS,116
Portland Trail Blazers,107,Utah Jazz,129,,,,,,,,,PHX,107,UTA,129
New Orleans Pelicans,123,Los Angeles Clippers,104,,,,,,,,,NOP,123,LAC,104
New York Knicks,110,Brooklyn Nets,112,,,,,,,,,NYK,110,BKN,112
Memphis Grizzlies,98,Toronto Raptors,91,,,,,,,,,MEM,98,TOR,91
Golden State Warriors,96,Phoenix Suns,104,,,,,,,,,GSW,96,PHX,104
Detroit Pistons,92,Portland Trail Blazers,110,,,,,,,,,DET,92,PHX,110
Los Angeles Lakers,117,Sacramento Kings,92,,,,,,,,,LAL,117,SAC,92
Atlanta Hawks,114,Indiana Pacers,111,,,,,,,,,ATL,114,IND,111
Denver Nuggets,103,Orlando Magic,108,,,,,,,,,DEN,103,ORL,108
Minnesota Timberwolves,107,Washington Wizards,115,,,,,,,,,MIN,107,WAS,115
Philadelphia 76ers,87,Boston Celtics,88,,,,,,,,,PHI,87,BOS,88
Cleveland Cavaliers,111,Miami Heat,85,,,,,,,,,CLE,111,MIA,85
Charlotte Hornets,125,Milwaukee Bucks,127,,,,,,,,,CHA,125,MIL,127
Dallas Mavericks,139,New Orleans Pelicans,107,,,,,,,,,DAL,139,NOP,107
Houston Rockets,114,Oklahoma City Thunder,110,,,,,,,,,HOU,114,OKC,110
Sacramento Kings,124,Los Angeles Clippers,115,,,,,,,,,SAC,124,LAC,115
Chicago Bulls,119,New York Knicks,115,,,,,,,,,CHI,119,NYK,115
Milwaukee Bucks,93,Toronto Raptors,97,,,,,,,,,MIL,93,TOR,97
Oklahoma City Thunder,79,Memphis Grizzlies,152,,,,,,,,,OKC,79,MEM,152
Detroit Pistons,103,Phoenix Suns,114,,,,,,,,,DET,103,PHX,114
San Antonio Spurs,114,Portland Trail Blazers,83,,,,,,,,,SAS,114,PHX,83
Miami Heat,113,Indiana Pacers,104,,,,,,,,,MIA,113,IND,104
Cleveland Cavaliers,116,Washington Wizards,101,,,,,,,,,CLE,116,WAS,101
Philadelphia 76ers,98,Atlanta Hawks,96,,,,,,,,,PHI,98,ATL,96
Minnesota Timberwolves,105,Brooklyn Nets,110,,,,,,,,,MIN,105,BKN,110
Orlando Magic,116,Houston Rockets,118,,,,,,,,,ORL,116,HOU,118
New Orleans Pelicans,107,Dallas Mavericks,91,,,,,,,,,NOP,107,DAL,91
Boston Celtics,130,Utah Jazz,137,,,,,,,,,BOS,130,UTA,137
Phoenix Suns,96,Golden State Warriors,118,,,,,,,,,PHX,96,GSW,118
Los Angeles Clippers,119,Los Angeles Lakers,115,,,,,,,,,LAC,119,LAL,115
Denver Nuggets,113,New York Knicks,99,,,,,,,,,DEN,113,NYK,99
Chicago Bulls,111,Brooklyn Nets,107,,,,,,,,,CHI,111,BKN,107
Miami Heat,102,Milwaukee Bucks,124,,,,,,,,,MIA,102,MIL,124
Memphis Grizzlies,97,Dallas Mavericks,90,,,,,,,,,MEM,97,DAL,90
San Antonio Spurs,112,Golden State Warriors,107,,,,,,,,,SAS,112,GSW,107
Boston Celtics,145,Portland Trail Blazers,117,,,,,,,,,BOS,145,PHX,117
Los Angeles Clippers,99,Sacramento Kings,104,,,,,,,,,LAC,99,SAC,104
Utah Jazz,109,Cleveland Cavaliers,108,,,,,,,,,UTA,109,CLE,108
Charlotte Hornets,130,Atlanta Hawks,127,,,,,,,,,CHA,130,ATL,127
Washington Wizards,90,Toronto Raptors,102,,,,,,,,,WAS,90,TOR,102
New Orleans Pelicans,108,Houston Rockets,118,,,,,,,,,NOP,108,HOU,118
Philadelphia 76ers,127,Charlotte Hornets,124,,,,,,,,,PHI,127,CHA,124
Oklahoma City Thunder,114,Detroit Pistons,103,,,,,,,,,OKC,114,DET,103
Washington Wizards,110,Indiana Pacers,116,,,,,,,,,WAS,110,IND,116
Memphis Grizzlies,105,Miami Heat,90,,,,,,,,,MEM,105,MIA,90
Denver Nuggets,97,Chicago Bulls,109,,,,,,,,,DEN,97,CHI,109
Cleveland Cavaliers,104,Milwaukee Bucks,112,,,,,,,,,CLE,104,MIL,112
Atlanta Hawks,121,Minnesota Timberwolves,110,,,,,,,,,ATL,121,MIN,110
San Antonio Spurs,104,Phoenix Suns,108,,,,,,,,,SAS,104,PHX,108
Orlando Magic,95,Golden State Warriors,126,,,,,,,,,ORL,95,GSW,126
Los Angeles Clippers,102,Portland Trail Blazers,90,,,,,,,,,LAC,102,PHX,90
Brooklyn Nets,102,Dallas Mavericks,99,,,,,,,,,BKN,102,DAL,99
New York Knicks,121,San Antonio Spurs,109,,,,,,,,,NYK,121,SAS,109
Boston Celtics,102,Los Angeles Lakers,117,,,,,,,,,BOS,102,LAL,117
Philadelphia 76ers,110,Charlotte Hornets,106,,,,,,,,,PHI,110,CHA,106
Chicago Bulls,92,Cleveland Cavaliers,115,,,,,,,,,CHI,92,CLE,115
Washington Wizards,119,Detroit Pistons,116,,,,,,,,,WAS,119,DET,116
New York Knicks,102,Indiana Pacers,122,,,,,,,,,NYK,102,IND,122
Milwaukee Bucks,104,Miami Heat,113,,,,,,,,,MIL,104,MIA,113
Oklahoma City Thunder,110,Toronto Raptors,109,,,,,,,,,OKC,110,TOR,109
Brooklyn Nets,104,Houston Rockets,114,,,,,,,,,BKN,104,HOU,114
Dallas Mavericks,104,Memphis Grizzlies,96,,,,,,,,,DAL,104,MEM,96
Utah Jazz,136,Minnesota Timberwolves,104,,,,,,,,,UTA,136,MIN,104
Denver Nuggets,120,New Orleans Pelicans,114,,,,,,,,,DEN,120,NOP,114
Portland Trail Blazers,94,Golden State Warriors,104,,,,,,,,,PHX,94,GSW,104
Orlando Magic,130,Sacramento Kings,142,,,,,,,,,ORL,130,SAC,142
Boston Celtics,111,Los Angeles Clippers,114,,,,,,,,,BOS,111,LAC,114
Utah Jazz,118,Philadelphia 76ers,96,,,,,,,,,UTA,118,PHI,96
Los Angeles Lakers,95,Memphis Grizzlies,108,,,,,,,,,LAL,95,MEM,108
Denver Nuggets,111,San Antonio Spurs,123,,,,,,,,,DEN,111,SAS,123
Sacramento Kings,123,Charlotte Hornets,124,,,,,,,,,SAC,123,CHA,124
Dallas Mavericks,93,Indiana Pacers,106,,,,,,,,,DAL,93,IND,106
Brooklyn Nets,113,Atlanta Hawks,105,,,,,,,,,BKN,113,ATL,105
New York Knicks,87,Toronto Raptors,90,,,,,,,,,NYK,87,TOR,90
Milwaukee Bucks,123,Houston Rockets,114,,,,,,,,,MIL,123,HOU,114
Cleveland Cavaliers,123,Minnesota Timberwolves,106,,,,,,,,,CLE,123,MIN,106
Detroit Pistons,93,New Orleans Pelicans,109,,,,,,,,,DET,93,NOP,109
Los Angeles Lakers,116,Oklahoma City Thunder,95,,,,,,,,,LAL,116,OKC,95
Boston Celtics,90,Phoenix Suns,111,,,,,,,,,BOS,90,PHX,111
Orlando Magic,104,Los Angeles Clippers,106,,,,,,,,,ORL,104,LAC,106
Utah Jazz,123,Washington Wizards,98,,,,,,,,,UTA,123,WAS,98
Sacramento Kings,103,Cleveland Cavaliers,117,,,,,,,,,SAC,103,CLE,117
Houston Rockets,106,Memphis Grizzlies,113,,,,,,,,,HOU,106,MEM,113
Chicago Bulls,92,Miami Heat,118,,,,,,,,,CHI,92,MIA,118
Golden State Warriors,93,Philadelphia 76ers,102,,,,,,,,,GSW,93,PHI,102
Denver Nuggets,127,San Antonio Spurs,112,,,,,,,,,DEN,127,SAS,112
Milwaukee Bucks,112,New York Knicks,97,,,,,,,,,MIL,112,NYK,97
Brooklyn Nets,116,Detroit Pistons,104,,,,,,,,,BKN,116,DET,104
Dallas Mavericks,103,Oklahoma City Thunder,84,,,,,,,,,DAL,103,OKC,84
New Orleans Pelicans,97,San Antonio Spurs,112,,,,,,,,,NOP,97,SAS,112
Minnesota Timberwolves,116,Portland Trail Blazers,111,,,,,,,,,MIN,116,PHX,111
Orlando Magic,94,Los Angeles Lakers,106,,,,,,,,,ORL,94,LAL,106
Miami Heat,94,Cleveland Cavaliers,105,,,,,,,,,MIA,94,CLE,105
Golden State Warriors,102,Indiana Pacers,100,,,,,,,,,GSW,102,IND,100
Sacramento Kings,101,Toronto Raptors,124,,,,,,,,,SAC,101,TOR,124
Houston Rockets,132,Atlanta Hawks,126,,,,,,,,,HOU,132,ATL,126
Milwaukee Bucks,103,Boston Celtics,117,,,,,,,,,MIL,103,BOS,117
Philadelphia 76ers,91,Memphis Grizzlies,126,,,,,,,,,PHI,91,MEM,126
Charlotte Hornets,96,Dallas Mavericks,120,,,,,,,,,CHA,96,DAL,120
Washington Wizards,107,Denver Nuggets,113,,,,,,,,,WAS,107,DEN,113
Phoenix Suns,95,Los Angeles Clippers,111,,,,,,,,,PHX,95,LAC,111
Toronto Raptors,129,Brooklyn Nets,131,,,,,,,,,TOR,129,BKN,131
Golden State Warriors,105,New York Knicks,96,,,,,,,,,GSW,105,NYK,96
Phoenix Suns,111,Portland Trail Blazers,107,,,,,,,,,PHX,111,PHX,107
Houston Rockets,89,Cleveland Cavaliers,124,,,,,,,,,HOU,89,CLE,124
Atlanta Hawks,111,Orlando Magic,99,,,,,,,,,ATL,111,ORL,99
Miami Heat,101,Philadelphia 76ers,96,,,,,,,,,MIA,101,PHI,96
Los Angeles Lakers,107,Dallas Mavericks,104,,,,,,,,,LAL,107,DAL,104
Indiana Pacers,99,Milwaukee Bucks,114,,,,,,,,,IND,99,MIL,114
New Orleans Pelicans,113,Oklahoma City Thunder,110,,,,,,,,,NOP,113,OKC,110
Charlotte Hornets,131,San Antonio Spurs,115,,,,,,,,,CHA,131,SAS,115
Minnesota Timberwolves,124,Denver Nuggets,107,,,,,,,,,MIN,124,DEN,107
Memphis Grizzlies,113,Portland Trail Blazers,103,,,,,,,,,MEM,113,PHX,103
Washington Wizards,105,Sacramento Kings,119,,,,,,,,,WAS,105,SAC,119
Los Angeles Clippers,103,Utah Jazz,124,,,,,,,,,LAC,103,UTA,124
Detroit Pistons,113,Indiana Pacers,122,,,,,,,,,DET,113,IND,122
Philadelphia 76ers,105,Brooklyn Nets,114,,,,,,,,,PHI,105,BKN,114
New York Knicks,116,Houston Rockets,103,,,,,,,,,NYK,116,HOU,103
Washington Wizards,98,Phoenix Suns,118,,,,,,,,,WAS,98,PHX,118
Miami Heat,115,Orlando Magic,105,,,,,,,,,MIA,115,ORL,105
Denver Nuggets,133,Atlanta Hawks,115,,,,,,,,,DEN,133,ATL,115
Golden State Warriors,111,Boston Celtics,107,,,,,,,,,GSW,111,BOS,107
Milwaukee Bucks,112,New Orleans Pelicans,116,,,,,,,,,MIL,112,NOP,116
San Antonio Spurs,128,Utah Jazz,126,,,,,,,,,SAS,128,UTA,126
Los Angeles Lakers,92,Minnesota Timberwolves,110,,,,,,,,,LAL,92,MIN,110
Charlotte Hornets,116,Portland Trail Blazers,125,,,,,,,,,CHA,116,PHX,125
Memphis Grizzlies,124,Sacramento Kings,105,,,,,,,,,MEM,124,SAC,105
Houston Rockets,116,Detroit Pistons,107,,,,,,,,,HOU,116,DET,107
New York Knicks,107,Boston Celtics,114,,,,,,,,,NYK,107,BOS,114
Orlando Magic,100,Brooklyn Nets,93,,,,,,,,,ORL,100,BKN,93
Golden State Warriors,100,Toronto Raptors,119,,,,,,,,,GSW,100,TOR,119
Los Angeles Clippers,103,Oklahoma City Thunder,104,,,,,,,,,LAC,103,OKC,104
Cleveland Cavaliers,119,Milwaukee Bucks,90,,,,,,,,,CLE,119,MIL,90
Washington Wizards,109,Utah Jazz,103,,,,,,,,,WAS,109,UTA,103
Miami Heat,90,Detroit Pistons,100,,,,,,,,,MIA,90,DET,100
Portland Trail Blazers,105,Memphis Grizzlies,100,,,,,,,,,PHX,105,MEM,100
San Antonio Spurs,114,Sacramento Kings,121,,,,,,,,,SAS,114,SAC,121
Los Angeles Lakers,110,Chicago Bulls,115,,,,,,,,,LAL,110,CHI,115
Dallas Mavericks,105,Minnesota Timberwolves,111,,,,,,,,,DAL,105,MIN,111
Charlotte Hornets,106,Phoenix Suns,137,,,,,,,,,CHA,106,PHX,137
Philadelphia 76ers,108,Boston Celtics,103,,,,,,,,,PHI,108,BOS,103
Houston Rockets,118,Chicago Bulls,133,,,,,,,,,HOU,118,CHI,133
Oklahoma City Thunder,102,Memphis Grizzlies,99,,,,,,,,,OKC,102,MEM,99
Charlotte Hornets,102,Utah Jazz,112,,,,,,,,,CHA,102,UTA,112
Sacramento Kings,98,Golden State Warriors,113,,,,,,,,,SAC,98,GSW,113
San Antonio Spurs,116,Los Angeles Clippers,92,,,,,,,,,SAS,116,LAC,92
Indiana Pacers,96,Miami Heat,125,,,,,,,,,IND,96,MIA,125
Detroit Pistons,91,New York Knicks,105,,,,,,,,,DET,91,NYK,105
Portland Trail Blazers,97,New Orleans Pelicans,111,,,,,,,,,PHX,97,NOP,111
Minnesota Timberwolves,102,Dallas Mavericks,114,,,,,,,,,MIN,102,DAL,114
Phoenix Suns,108,Los Angeles Lakers,90,,,,,,,,,PHX,108,LAL,90
Orlando Magic,104,Atlanta Hawks,98,,,,,,,,,ORL,104,ATL,98
Cleveland Cavaliers,101,Boston Celtics,111,,,,,,,,,CLE,101,BOS,111
Houston Rockets,106,Milwaukee Bucks,126,,,,,,,,,HOU,106,MIL,126
Denver Nuggets,94,Oklahoma City Thunder,108,,,,,,,,,DEN,94,OKC,108
Los Angeles Clippers,105,Sacramento Kings,89,,,,,,,,,LAC,105,SAC,89
Houston Rockets,106,Indiana Pacers,118,,,,,,,,,HOU,106,IND,118
New Orleans Pelicans,110,Orlando Magic,104,,,,,,,,,NOP,110,ORL,104
Atlanta Hawks,98,Philadelphia 76ers,96,,,,,,,,,ATL,98,PHI,96
Detroit Pistons,112,Miami Heat,115,,,,,,,,,DET,112,MIA,115
Washington Wizards,124,New York Knicks,117,,,,,,,,,WAS,124,NYK,117
Milwaukee Bucks,102,Dallas Mavericks,95,,,,,,,,,MIL,102,DAL,95
Charlotte Hornets,115,Denver Nuggets,107,,,,,,,,,CHA,115,DEN,107
Oklahoma City Thunder,101,Phoenix Suns,113,,,,,,,,,OKC,101,PHX,113
Minnesota Timberwolves,116,Utah Jazz,128,,,,,,,,,MIN,116,UTA,128
Memphis Grizzlies,104,Golden State Warriors,113,,,,,,,,,MEM,104,GSW,113
San Antonio Spurs,138,Los Angeles Lakers,110,,,,,,,,,SAS,138,LAL,110
Atlanta Hawks,87,New York Knicks,101,,,,,,,,,ATL,87,NYK,101
Boston Celtics,113,Milwaukee Bucks,117,,,,,,,,,BOS,113,MIL,117
Golden State Warriors,116,Phoenix Suns,107,,,,,,,,,GSW,116,PHX,107
Brooklyn Nets,122,Los Angeles Lakers,115,,,,,,,,,BKN,122,LAL,115
Dallas Mavericks,116,Utah Jazz,120,,,,,,,,,DAL,116,UTA,120
Orlando Magic,83,Miami Heat,93,,,,,,,,,ORL,83,MIA,93
Toronto Raptors,99,Cleveland Cavaliers,144,,,,,,,,,TOR,99,CLE,144
Memphis Grizzlies,127,Sacramento Kings,102,,,,,,,,,MEM,127,SAC,102
Philadelphia 76ers,117,Washington Wizards,96,,,,,,,,,PHI,117,WAS,96
New Orleans Pelicans,112,Oklahoma City Thunder,117,,,,,,,,,NOP,112,OKC,117
Detroit Pistons,109,San Antonio Spurs,144,,,,,,,,,DET,109,SAS,144
Indiana Pacers,105,Chicago Bulls,113,,,,,,,,,IND,105,CHI,113
Denver Nuggets,103,Los Angeles Clippers,100,,,,,,,,,DEN,103,LAC,100
Houston Rockets,99,Charlotte Hornets,123,,,,,,,,,HOU,99,CHA,123
Chicago Bulls,130,Atlanta Hawks,118,,,,,,,,,CHI,130,ATL,118
Boston Celtics,103,Minnesota Timberwolves,108,,,,,,,,,BOS,103,MIN,108
Utah Jazz,110,San Antonio Spurs,104,,,,,,,,,UTA,110,SAS,104
Memphis Grizzlies,114,Phoenix Suns,113,,,,,,,,,MEM,114,PHX,113
Dallas Mavericks,132,Portland Trail Blazers,117,,,,,,,,,DAL,132,PHX,117
Brooklyn Nets,124,Los Angeles Clippers,108,,,,,,,,,BKN,124,LAC,108
Milwaukee Bucks,127,Orlando Magic,110,,,,,,,,,MIL,127,ORL,110
Washington Wizards,112,Miami Heat,119,,,,,,,,,WAS,112,MIA,119
Philadelphia 76ers,114,Toronto Raptors,109,,,,,,,,,PHI,114,TOR,109
Los Angeles Lakers,132,Houston Rockets,123,,,,,,,,,LAL,132,HOU,123
New York Knicks,96,Minnesota Timberwolves,88,,,,,,,,,NYK,96,MIN,88
Cleveland Cavaliers,104,New Orleans Pelicans,108,,,,,,,,,CLE,104,NOP,108
Denver Nuggets,89,Golden State Warriors,86,,,,,,,,,DEN,89,GSW,86
Oklahoma City Thunder,111,Sacramento Kings,117,,,,,,,,,OKC,111,SAC,117
New York Knicks,94,Detroit Pistons,85,,,,,,,,,NYK,94,DET,85
Charlotte Hornets,116,Indiana Pacers,108,,,,,,,,,CHA,116,IND,108
Los Angeles Clippers,91,Boston Celtics,82,,,,,,,,,LAC,91,BOS,82
Atlanta Hawks,117,Chicago Bulls,131,,,,,,,,,ATL,117,CHI,131
Los Angeles Lakers,99,Memphis Grizzlies,104,,,,,,,,,LAL,99,MEM,104
Oklahoma City Thunder,97,Phoenix Suns,115,,,,,,,,,OKC,97,PHX,115
Utah Jazz,120,Portland Trail Blazers,105,,,,,,,,,UTA,120,PHX,105
Dallas Mavericks,94,Sacramento Kings,95,,,,,,,,,DAL,94,SAC,95
Philadelphia 76ers,110,Brooklyn Nets,102,,,,,,,,,PHI,110,BKN,102
Milwaukee Bucks,136,Orlando Magic,118,,,,,,,,,MIL,136,ORL,118
Cleveland Cavaliers,93,Washington Wizards,110,,,,,,,,,CLE,93,WAS,110
Phoenix Suns,108,Boston Celtics,123,,,,,,,,,PHX,108,BOS,123
Chicago Bulls,108,Indiana Pacers,106,,,,,,,,,CHI,108,IND,106
Dallas Mavericks,112,Sacramento Kings,96,,,,,,,,,DAL,112,SAC,96
Miami Heat,120,Houston Rockets,110,,,,,,,,,MIA,120,HOU,110
Atlanta Hawks,121,Cleveland Cavaliers,118,,,,,,,,,ATL,121,CLE,118
Los Angeles Clippers,108,Toronto Raptors,116,,,,,,,,,LAC,108,TOR,116
San Antonio Spurs,105,Memphis Grizzlies,118,,,,,,,,,SAS,105,MEM,118
New York Knicks,80,Oklahoma City Thunder,95,,,,,,,,,NYK,80,OKC,95
Minnesota Timberwolves,108,Utah Jazz,120,,,,,,,,,MIN,108,UTA,120
Portland Trail Blazers,106,Los Angeles Lakers,139,,,,,,,,,PHX,106,LAL,139
New Orleans Pelicans,113,Milwaukee Bucks,136,,,,,,,,,NOP,113,MIL,136
San Antonio Spurs,116,Detroit Pistons,117,,,,,,,,,SAS,116,DET,117
Chicago Bulls,120,Washington Wizards,119,,,,,,,,,CHI,120,WAS,119
Los Angeles Clippers,120,Brooklyn Nets,116,,,,,,,,,LAC,120,BKN,116
Denver Nuggets,124,Houston Rockets,111,,,,,,,,,DEN,124,HOU,111
Golden State Warriors,123,Utah Jazz,116,,,,,,,,,GSW,123,UTA,116
New York Knicks,105,Toronto Raptors,120,,,,,,,,,NYK,105,TOR,120
Orlando Magic,111,Boston Celtics,116,,,,,,,,,ORL,111,BOS,116
Indiana Pacers,104,Cleveland Cavaliers,108,,,,,,,,,IND,104,CLE,108
Miami Heat,113,Sacramento Kings,115,,,,,,,,,MIA,113,SAC,115
Phoenix Suns,133,Charlotte Hornets,99,,,,,,,,,PHX,133,CHA,99
Dallas Mavericks,95,Oklahoma City Thunder,86,,,,,,,,,DAL,95,OKC,86
Minnesota Timberwolves,103,Los Angeles Lakers,108,,,,,,,,,MIN,103,LAL,108
Houston Rockets,113,Philadelphia 76ers,133,,,,,,,,,HOU,113,PHI,133
Charlotte Hornets,121,Washington Wizards,124,,,,,,,,,CHA,121,WAS,124
Memphis Grizzlies,118,Brooklyn Nets,104,,,,,,,,,MEM,118,BKN,104
Orlando Magic,98,Chicago Bulls,102,,,,,,,,,ORL,98,CHI,102
Detroit Pistons,115,Milwaukee Bucks,106,,,,,,,,,DET,115,MIL,106
Utah Jazz,115,New Orleans Pelicans,104,,,,,,,,,UTA,115,NOP,104
Denver Nuggets,89,Dallas Mavericks,103,,,,,,,,,DEN,89,DAL,103
Miami Heat,108,Golden State Warriors,115,,,,,,,,,MIA,108,GSW,115
Atlanta Hawks,131,Portland Trail Blazers,136,,,,,,,,,ATL,131,PHX,136
Minnesota Timberwolves,122,Los Angeles Clippers,104,,,,,,,,,MIN,122,LAC,104
Memphis Grizzlies,110,Cleveland Cavaliers,106,,,,,,,,,MEM,110,CLE,106
San Antonio Spurs,104,Toronto Raptors,129,,,,,,,,,SAS,104,TOR,129
Indiana Pacers,94,New York Knicks,104,,,,,,,,,IND,94,NYK,104
Phoenix Suns,123,New Orleans Pelicans,110,,,,,,,,,PHX,123,NOP,110
Sacramento Kings,114,Los Angeles Lakers,122,,,,,,,,,SAC,114,LAL,122
Detroit Pistons,111,Charlotte Hornets,140,,,,,,,,,DET,111,CHA,140
Philadelphia 76ers,116,Orlando Magic,106,,,,,,,,,PHI,116,ORL,106
Houston Rockets,114,Washington Wizards,111,,,,,,,,,HOU,114,WAS,111
San Antonio Spurs,99,Boston Celtics,97,,,,,,,,,SAS,99,BOS,97
Golden State Warriors,82,Dallas Mavericks,99,,,,,,,,,GSW,82,DAL,99
Brooklyn Nets,129,Indiana Pacers,121,,,,,,,,,BKN,129,IND,121
Toronto Raptors,117,Milwaukee Bucks,111,,,,,,,,,TOR,117,MIL,111
Oklahoma City Thunder,90,Minnesota Timberwolves,98,,,,,,,,,OKC,90,MIN,98
Utah Jazz,115,Denver Nuggets,109,,,,,,,,,UTA,115,DEN,109
Miami Heat,115,Portland Trail Blazers,109,,,,,,,,,MIA,115,PHX,109
Atlanta Hawks,108,Sacramento Kings,102,,,,,,,,,ATL,108,SAC,102
Boston Celtics,105,New York Knicks,108,,,,,,,,,BOS,105,NYK,108
Detroit Pistons,88,Memphis Grizzlies,118,,,,,,,,,DET,88,MEM,118
Golden State Warriors,96,New Orleans Pelicans,101,,,,,,,,,GSW,96,NOP,101
Los Angeles Clippers,89,Phoenix Suns,106,,,,,,,,,LAC,89,PHX,106
San Antonio Spurs,100,Philadelphia 76ers,119,,,,,,,,,SAS,100,PHI,119
Milwaukee Bucks,121,Brooklyn Nets,109,,,,,,,,,MIL,121,BKN,109
Utah Jazz,108,Toronto Raptors,122,,,,,,,,,UTA,108,TOR,122
Washington Wizards,122,Chicago Bulls,130,,,,,,,,,WAS,122,CHI,130
Dallas Mavericks,130,Houston Rockets,106,,,,,,,,,DAL,130,HOU,106
Minnesota Timberwolves,135,Oklahoma City Thunder,105,,,,,,,,,MIN,135,OKC,105
Sacramento Kings,111,Denver Nuggets,121,,,,,,,,,SAC,111,DEN,121
Atlanta Hawks,118,Los Angeles Lakers,134,,,,,,,,,ATL,118,LAL,134
Cleveland Cavaliers,114,Portland Trail Blazers,101,,,,,,,,,CLE,114,PHX,101
Memphis Grizzlies,123,Los Angeles Clippers,108,,,,,,,,,MEM,123,LAC,108
Milwaukee Bucks,106,Charlotte Hornets,114,,,,,,,,,MIL,106,CHA,114
Orlando Magic,92,Detroit Pistons,97,,,,,,,,,ORL,92,DET,97
Utah Jazz,113,Indiana Pacers,125,,,,,,,,,UTA,113,IND,125
New York Knicks,75,Boston Celtics,99,,,,,,,,,NYK,75,BOS,99
Miami Heat,123,Phoenix Suns,100,,,,,,,,,MIA,123,PHX,100
San Antonio Spurs,119,Brooklyn Nets,121,,,,,,,,,SAS,119,BKN,121
Atlanta Hawks,93,Los Angeles Clippers,106,,,,,,,,,ATL,93,LAC,106
Washington Wizards,102,Orlando Magic,100,,,,,,,,,WAS,102,ORL,100
New Orleans Pelicans,101,Toronto Raptors,105,,,,,,,,,NOP,101,TOR,105
Minnesota Timberwolves,141,Houston Rockets,123,,,,,,,,,MIN,141,HOU,123
Denver Nuggets,99,Oklahoma City Thunder,95,,,,,,,,,DEN,99,OKC,95
Chicago Bulls,99,Dallas Mavericks,113,,,,,,,,,CHI,99,DAL,113
Cleveland Cavaliers,82,Golden State Warriors,96,,,,,,,,,CLE,82,GSW,96
Sacramento Kings,88,Portland Trail Blazers,103,,,,,,,,,SAC,88,PHX,103
Memphis Grizzlies,127,Los Angeles Lakers,119,,,,,,,,,MEM,127,LAL,119
Milwaukee Bucks,99,Charlotte Hornets,103,,,,,,,,,MIL,99,CHA,103
Utah Jazz,116,Detroit Pistons,126,,,,,,,,,UTA,116,DET,126
Indiana Pacers,98,Boston Celtics,101,,,,,,,,,IND,98,BOS,101
San Antonio Spurs,96,New York Knicks,111,,,,,,,,,SAS,96,NYK,111
Philadelphia 76ers,111,Houston Rockets,91,,,,,,,,,PHI,111,HOU,91
Brooklyn Nets,108,Portland Trail Blazers,114,,,,,,,,,BKN,108,PHX,114
Cleveland Cavaliers,109,Sacramento Kings,108,,,,,,,,,CLE,109,SAC,108
Oklahoma City Thunder,118,Washington Wizards,122,,,,,,,,,OKC,118,WAS,122
Phoenix Suns,99,Toronto Raptors,95,,,,,,,,,PHX,99,TOR,95
Detroit Pistons,87,Chicago Bulls,133,,,,,,,,,DET,87,CHI,133
Golden State Warriors,108,Memphis Grizzlies,116,,,,,,,,,GSW,108,MEM,116
Minnesota Timberwolves,125,New Orleans Pelicans,128,,,,,,,,,MIN,125,NOP,128
Denver Nuggets,85,Los Angeles Clippers,87,,,,,,,,,DEN,85,LAC,87
Boston Celtics,119,Indiana Pacers,100,,,,,,,,,BOS,119,IND,100
Charlotte Hornets,109,Philadelphia 76ers,98,,,,,,,,,CHA,109,PHI,98
Orlando Magic,106,Washington Wizards,112,,,,,,,,,ORL,106,WAS,112
Miami Heat,115,Atlanta Hawks,91,,,,,,,,,MIA,115,ATL,91
Dallas Mavericks,85,New York Knicks,108,,,,,,,,,DAL,85,NYK,108
Houston Rockets,128,San Antonio Spurs,124,,,,,,,,,HOU,128,SAS,124
Cleveland Cavaliers,111,Utah Jazz,91,,,,,,,,,CLE,111,UTA,91
Brooklyn Nets,138,Chicago Bulls,112,,,,,,,,,BKN,138,CHI,112
Los Angeles Lakers,116,Sacramento Kings,125,,,,,,,,,LAL,116,SAC,125
Golden State Warriors,99,Milwaukee Bucks,118,,,,,,,,,GSW,99,MIL,118
Minnesota Timberwolves,108,Memphis Grizzlies,116,,,,,,,,,MIN,108,MEM,116
Los Angeles Clippers,89,New Orleans Pelicans,113,,,,,,,,,LAC,89,NOP,113
Oklahoma City Thunder,130,Brooklyn Nets,109,,,,,,,,,OKC,130,BKN,109
Portland Trail Blazers,108,Denver Nuggets,140,,,,,,,,,PHX,108,DEN,140
Orlando Magic,116,Charlotte Hornets,109,,,,,,,,,ORL,116,CHA,109
Toronto Raptors,87,Detroit Pistons,103,,,,,,,,,TOR,87,DET,103
Phoenix Suns,112,Indiana Pacers,94,,,,,,,,,PHX,112,IND,94
Boston Celtics,99,Philadelphia 76ers,111,,,,,,,,,BOS,99,PHI,111
Golden State Warriors,138,Chicago Bulls,96,,,,,,,,,GSW,138,CHI,96
Atlanta Hawks,118,Miami Heat,124,,,,,,,,,ATL,118,MIA,124
Cleveland Cavaliers,114,San Antonio Spurs,109,,,,,,,,,CLE,114,SAS,109
Dallas Mavericks,112,Memphis Grizzlies,85,,,,,,,,,DAL,112,MEM,85
Houston Rockets,114,Sacramento Kings,126,,,,,,,,,HOU,114,SAC,126
Toronto Raptors,103,Milwaukee Bucks,96,,,,,,,,,TOR,103,MIL,96
