Visitor,PTS,Home,PTS,,,,,,,,,Visitor,PTS,Home,PTS
Detroit Pistons,102,Philadelphia 76ers,110,,,,,,,,,DET,102,PHI,110
Utah Jazz,122,Houston Rockets,91,,,,,,,,,UTA,122,HOU,91
New York Knicks,104,Chicago Bulls,103,,,,,,,,,NYK,104,CHI,103
San Antonio Spurs,99,Dallas Mavericks,104,,,,,,,,,SAS,99,DAL,104
Memphis Grizzlies,104,Golden State Warriors,101,,,,,,,,,MEM,104,GSW,101
Orlando Magic,109,Toronto Raptors,110,,,,,,,,,ORL,109,TOR,110
Charlotte Hornets,99,Miami Heat,114,,,,,,,,,CHA,99,MIA,114
Indiana Pacers,98,Brooklyn Nets,105,,,,,,,,,IND,98,BKN,105
Sacramento Kings,113,New Orleans Pelicans,109,,,,,,,,,SAC,113,NOP,109
Dallas Mavericks,75,Denver Nuggets,106,,,,,,,,,DAL,75,DEN,106
Los Angeles Clippers,92,Portland Trail Blazers,111,,,,,,,,,LAC,92,PHX,111
Cleveland Cavaliers,101,Los Angeles Lakers,113,,,,,,,,,CLE,101,LAL,113
Boston Celtics,112,Washington Wizards,115,,,,,,,,,BOS,112,WAS,115
Orlando Magic,103,Detroit Pistons,110,,,,,,,,,ORL,103,DET,110
New York Knicks,123,New Orleans Pelicans,117,,,,,,,,,NYK,123,NOP,117
Toronto Raptors,97,Indiana Pacers,94,,,,,,,,,TOR,97,IND,94
Atlanta Hawks,94,Philadelphia 76ers,122,,,,,,,,,ATL,94,PHI,122
Utah Jazz,99,Chicago Bulls,107,,,,,,,,,UTA,99,CHI,107
Miami Heat,129,Memphis Grizzlies,103,,,,,,,,,MIA,129,MEM,103
San Antonio Spurs,102,Milwaukee Bucks,93,,,,,,,,,SAS,102,MIL,93
Oklahoma City Thunder,82,Golden State Warriors,103,,,,,,,,,OKC,82,GSW,103
Denver Nuggets,93,Minnesota Timberwolves,91,,,,,,,,,DEN,93,MIN,91
Cleveland Cavaliers,92,Phoenix Suns,101,,,,,,,,,CLE,92,PHX,101
Sacramento Kings,99,Dallas Mavericks,105,,,,,,,,,SAC,99,DAL,105
Portland Trail Blazers,113,Charlotte Hornets,125,,,,,,,,,PHX,113,CHA,125
Utah Jazz,107,Milwaukee Bucks,95,,,,,,,,,UTA,107,MIL,95
Detroit Pistons,91,Brooklyn Nets,117,,,,,,,,,DET,91,BKN,117
Houston Rockets,85,Los Angeles Lakers,95,,,,,,,,,HOU,85,LAL,95
Cleveland Cavaliers,113,Charlotte Hornets,110,,,,,,,,,CLE,113,CHA,110
San Antonio Spurs,118,Indiana Pacers,131,,,,,,,,,SAS,118,IND,131
Portland Trail Blazers,103,Philadelphia 76ers,113,,,,,,,,,PHX,103,PHI,113
Washington Wizards,111,Atlanta Hawks,118,,,,,,,,,WAS,111,ATL,118
Chicago Bulls,128,Boston Celtics,114,,,,,,,,,CHI,128,BOS,114
Toronto Raptors,113,New York Knicks,104,,,,,,,,,TOR,113,NYK,104
Denver Nuggets,97,Memphis Grizzlies,106,,,,,,,,,DEN,97,MEM,106
Orlando Magic,115,Minnesota Timberwolves,97,,,,,,,,,ORL,115,MIN,97
Oklahoma City Thunder,94,Los Angeles Clippers,99,,,,,,,,,OKC,94,LAC,99
Milwaukee Bucks,117,Detroit Pistons,89,,,,,,,,,MIL,117,DET,89
